subject,subjectname,group,formerSubject,conditionrank,modality,modalityname,repetition,question,trial,datasetname,readingTime,error,time,perceivedDifficulty,perceivedTime,logtime
4,s4,4,no,1,4,virtual-mouse,1,1,1,army,26,0,44.5686,2,42,3.797
4,s4,4,no,1,4,virtual-mouse,1,2,2,army,10,0,120.6228,4,81,4.7927
4,s4,4,no,1,4,virtual-mouse,1,3,3,army,2,0,99.4174,3,95,4.5993
4,s4,4,no,1,4,virtual-mouse,1,4,4,army,19,0,53.7313,3,66,3.984
4,s4,4,no,1,4,virtual-mouse,2,1,5,externaldebt,12,1,62.6189,3,59,4.1371
4,s4,4,no,1,4,virtual-mouse,2,2,6,externaldebt,20,0,59.1863,2,48,4.0807
4,s4,4,no,1,4,virtual-mouse,2,3,7,externaldebt,3,0,81.9819,3,62,4.4065
4,s4,4,no,1,4,virtual-mouse,2,4,8,externaldebt,4,0,57.6597,4,58,4.0546
4,s4,4,no,2,1,physical-touch,1,1,9,health,123,0,70.1668,4,58,4.2509
4,s4,4,no,2,1,physical-touch,1,2,10,health,1,0,121.6659,4,95,4.8013
4,s4,4,no,2,1,physical-touch,1,3,11,health,5,0,49.1339,3,44,3.8946
4,s4,4,no,2,1,physical-touch,1,4,12,health,4,0,42.4351,2,42,3.748
4,s4,4,no,2,1,physical-touch,2,1,13,military,63,0,55.1604,2,43,4.0102
4,s4,4,no,2,1,physical-touch,2,2,14,military,3,0,30.258,2,31,3.4098
4,s4,4,no,2,1,physical-touch,2,3,15,military,1,0,25.3934,2,29,3.2345
4,s4,4,no,2,1,physical-touch,2,4,16,military,0,0,40.2764,2,43,3.6958
4,s4,4,no,3,3,virtual-prop,1,1,17,grosscapital,28,0,72.5809,3,53,4.2847
4,s4,4,no,3,3,virtual-prop,1,2,18,grosscapital,2,0,62.7614,3,45,4.1393
4,s4,4,no,3,3,virtual-prop,1,3,19,grosscapital,3,0,60.2104,2,42,4.0978
4,s4,4,no,3,3,virtual-prop,1,4,20,grosscapital,1,0,56.1526,2,34,4.0281
4,s4,4,no,3,3,virtual-prop,2,1,21,education,22,1,78.7131,4,47,4.3658
4,s4,4,no,3,3,virtual-prop,2,2,22,education,7,0,65.296,3,49,4.1789
4,s4,4,no,3,3,virtual-prop,2,3,23,education,1,0,34.9936,2,36,3.5552
4,s4,4,no,3,3,virtual-prop,2,4,24,education,2,0,57.6101,3,41,4.0537
4,s4,4,no,4,2,physical-notouch,1,1,25,carmortality,41,0,54.0204,3,37,3.9894
4,s4,4,no,4,2,physical-notouch,1,2,26,carmortality,2,0,32.376,1,33,3.4774
4,s4,4,no,4,2,physical-notouch,1,3,27,carmortality,1,0,28.5325,2,26,3.351
4,s4,4,no,4,2,physical-notouch,1,4,28,carmortality,2,1,70.331,5,46,4.2532
4,s4,4,no,4,2,physical-notouch,2,1,29,hiv,60,1,45.4751,2,40,3.8172
4,s4,4,no,4,2,physical-notouch,2,2,30,hiv,2,0,76.5353,4,85,4.3378
4,s4,4,no,4,2,physical-notouch,2,3,31,hiv,2,0,68.3642,3,58,4.2248
4,s4,4,no,4,2,physical-notouch,2,4,32,hiv,1,0,45.6294,3,57,3.8206
9,s9,1,yes,1,1,physical-touch,1,1,1,army,48,0,28.3003,2,33,3.3429
9,s9,1,yes,1,1,physical-touch,1,2,2,army,4,0,32.4271,4,38,3.479
9,s9,1,yes,1,1,physical-touch,1,3,3,army,2,0,36.0344,3,34,3.5845
9,s9,1,yes,1,1,physical-touch,1,4,4,army,3,0,27.1772,2,28,3.3024
9,s9,1,yes,1,1,physical-touch,2,1,5,externaldebt,41,0,31.5147,2,23,3.4505
9,s9,1,yes,1,1,physical-touch,2,2,6,externaldebt,2,0,35.9712,3,50,3.5827
9,s9,1,yes,1,1,physical-touch,2,3,7,externaldebt,2,1,48.6713,4,49,3.8851
9,s9,1,yes,1,1,physical-touch,2,4,8,externaldebt,3,0,25.5558,2,31,3.2409
9,s9,1,yes,2,2,physical-notouch,1,1,9,health,39,0,65.2982,4,41,4.179
9,s9,1,yes,2,2,physical-notouch,1,2,10,health,2,0,31.4236,3,32,3.4476
9,s9,1,yes,2,2,physical-notouch,1,3,11,health,2,0,37.0655,2,35,3.6127
9,s9,1,yes,2,2,physical-notouch,1,4,12,health,1,0,35.8623,4,44,3.5797
9,s9,1,yes,2,2,physical-notouch,2,1,13,military,55,0,24.0684,1,20,3.1809
9,s9,1,yes,2,2,physical-notouch,2,2,14,military,2,0,33.6853,2,39,3.5171
9,s9,1,yes,2,2,physical-notouch,2,3,15,military,2,0,21.2725,2,19,3.0574
9,s9,1,yes,2,2,physical-notouch,2,4,16,military,1,0,22.2008,2,60,3.1001
9,s9,1,yes,3,4,virtual-mouse,1,1,17,grosscapital,6,0,36.0006,2,56,3.5835
9,s9,1,yes,3,4,virtual-mouse,1,2,18,grosscapital,2,0,41.0986,2,43,3.716
9,s9,1,yes,3,4,virtual-mouse,1,3,19,grosscapital,3,0,35.8255,2,40,3.5787
9,s9,1,yes,3,4,virtual-mouse,1,4,20,grosscapital,2,0,28.88,2,43,3.3632
9,s9,1,yes,3,4,virtual-mouse,2,1,21,education,7,1,53.0648,5,52,3.9715
9,s9,1,yes,3,4,virtual-mouse,2,2,22,education,2,0,34.4727,2,43,3.5402
9,s9,1,yes,3,4,virtual-mouse,2,3,23,education,2,0,40.4052,2,49,3.699
9,s9,1,yes,3,4,virtual-mouse,2,4,24,education,2,0,46.1064,2,61,3.831
9,s9,1,yes,4,3,virtual-prop,1,1,25,carmortality,10,0,36.7545,3,50,3.6043
9,s9,1,yes,4,3,virtual-prop,1,2,26,carmortality,2,0,30.5176,2,38,3.4183
9,s9,1,yes,4,3,virtual-prop,1,3,27,carmortality,2,1,34.5354,4,56,3.542
9,s9,1,yes,4,3,virtual-prop,1,4,28,carmortality,1,0,39.9474,2,52,3.6876
9,s9,1,yes,4,3,virtual-prop,2,1,29,hiv,17,0,51.2282,3,57,3.9363
9,s9,1,yes,4,3,virtual-prop,2,2,30,hiv,2,0,59.9003,2,64,4.0927
9,s9,1,yes,4,3,virtual-prop,2,3,31,hiv,1,0,45.5985,2,60,3.8199
9,s9,1,yes,4,3,virtual-prop,2,4,32,hiv,1,0,39.8108,2,55,3.6841
3,s3,3,no,1,3,virtual-prop,1,1,1,army,117,0,51.8341,4,11,3.948
3,s3,3,no,1,3,virtual-prop,1,2,2,army,3,0,45.9624,4,15,3.8278
3,s3,3,no,1,3,virtual-prop,1,3,3,army,5,1,69.8522,4,24,4.2464
3,s3,3,no,1,3,virtual-prop,1,4,4,army,2,1,51.8656,5,11,3.9487
3,s3,3,no,1,3,virtual-prop,2,1,5,externaldebt,16,0,71.9979,4,23,4.2766
3,s3,3,no,1,3,virtual-prop,2,2,6,externaldebt,3,0,31.7952,2,11,3.4593
3,s3,3,no,1,3,virtual-prop,2,3,7,externaldebt,4,0,75.2146,4,25,4.3203
3,s3,3,no,1,3,virtual-prop,2,4,8,externaldebt,2,0,42.3376,3,15,3.7457
3,s3,3,no,2,4,virtual-mouse,1,1,9,health,8,0,63.2857,4,14,4.1477
3,s3,3,no,2,4,virtual-mouse,1,2,10,health,6,1,56.4011,5,9,4.0325
3,s3,3,no,2,4,virtual-mouse,1,3,11,health,1,1,71.5658,5,16,4.2706
3,s3,3,no,2,4,virtual-mouse,1,4,12,health,2,0,90.4589,3,15,4.5049
3,s3,3,no,2,4,virtual-mouse,2,1,13,military,4,0,70.1718,2,23,4.2509
3,s3,3,no,2,4,virtual-mouse,2,2,14,military,3,0,33.8935,1,15,3.5232
